tau,Admm,Apgd,Bgs,BlockedJacobi,BoxedSemiSmoothNewton,Dantzig,Jacobi,Nncg,Pgs,RedBlackGaussSeidel,Sap,ShockPropagation,Staggering,SubspaceMinimization,SymmetricPsor,Tgs
1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333
1.0452,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333
1.0905,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0.3333
1.1357,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0.3333
1.1809,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0.3333
1.2261,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0.3333
1.2714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0.6667
1.3166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0.6667
1.3618,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.6667,0.0000,0.0000,0.0000,0.0000,0.6667
1.4070,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.6667,0.0000,0.0000,0.0000,0.0000,0.6667
1.4523,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.6667,0.0000,0.0000,0.0000,0.0000,1.0000
1.4975,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.6667,0.0000,0.0000,0.0000,0.3333,1.0000
1.5427,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,1.0000,0.0000,0.6667,0.0000,0.0000,0.0000,0.3333,1.0000
1.5879,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.3333,1.0000
1.6332,0.3333,0.3333,0.0000,0.0000,0.0000,0.0000,0.6667,0.0000,1.0000,0.3333,1.0000,0.0000,0.0000,0.0000,0.3333,1.0000
1.6784,0.3333,0.3333,0.0000,0.0000,0.0000,0.0000,0.6667,0.0000,1.0000,0.3333,1.0000,0.0000,0.0000,0.0000,0.3333,1.0000
1.7236,0.6667,0.3333,0.0000,0.0000,0.0000,0.0000,0.6667,0.0000,1.0000,0.3333,1.0000,0.0000,0.0000,0.0000,0.3333,1.0000
1.7688,0.6667,0.3333,0.0000,0.0000,0.0000,0.0000,0.6667,0.0000,1.0000,0.3333,1.0000,0.0000,0.0000,0.0000,0.3333,1.0000
1.8141,0.6667,0.3333,0.0000,0.0000,0.0000,0.3333,0.6667,0.0000,1.0000,0.3333,1.0000,0.0000,0.0000,0.0000,0.3333,1.0000
1.8593,0.6667,0.3333,0.0000,0.0000,0.0000,0.3333,0.6667,0.0000,1.0000,0.6667,1.0000,0.0000,0.0000,0.0000,0.3333,1.0000
1.9045,0.6667,0.3333,0.0000,0.0000,0.0000,0.3333,0.6667,0.0000,1.0000,0.6667,1.0000,0.0000,0.0000,0.0000,0.3333,1.0000
1.9497,1.0000,0.3333,0.0000,0.0000,0.0000,0.3333,0.6667,0.0000,1.0000,0.6667,1.0000,0.0000,0.0000,0.0000,0.3333,1.0000
1.9950,1.0000,0.3333,0.0000,0.0000,0.0000,0.3333,0.6667,0.0000,1.0000,0.6667,1.0000,0.0000,0.0000,0.0000,0.3333,1.0000
2.0402,1.0000,0.3333,0.0000,0.0000,0.0000,0.3333,0.6667,0.0000,1.0000,0.6667,1.0000,0.0000,0.0000,0.0000,0.3333,1.0000
2.0854,1.0000,0.3333,0.0000,0.0000,0.0000,0.3333,0.6667,0.0000,1.0000,0.6667,1.0000,0.0000,0.0000,0.0000,0.3333,1.0000
2.1307,1.0000,0.3333,0.0000,0.0000,0.0000,0.3333,0.6667,0.0000,1.0000,0.6667,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000
2.1759,1.0000,0.3333,0.0000,0.0000,0.0000,0.3333,0.6667,0.0000,1.0000,0.6667,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000
2.2211,1.0000,0.6667,0.0000,0.0000,0.0000,0.3333,0.6667,0.0000,1.0000,0.6667,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000
2.2663,1.0000,0.6667,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000
2.3116,1.0000,0.6667,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000
2.3568,1.0000,0.6667,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000
2.4020,1.0000,0.6667,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000
2.4472,1.0000,0.6667,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000
2.4925,1.0000,0.6667,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000
2.5377,1.0000,0.6667,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000
2.5829,1.0000,0.6667,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000
2.6281,1.0000,0.6667,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000
2.6734,1.0000,0.6667,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000
2.7186,1.0000,0.6667,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000
2.7638,1.0000,0.6667,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000
2.8090,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000
2.8543,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000
2.8995,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000
2.9447,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000
2.9899,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000
3.0352,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000
3.0804,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000
3.1256,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000
3.1709,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000
3.2161,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000
3.2613,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.3333,1.0000,1.0000
3.3065,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.3333,1.0000,1.0000
3.3518,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.3333,1.0000,1.0000
3.3970,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.3333,1.0000,1.0000
3.4422,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.3333,1.0000,1.0000
3.4874,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.3333,1.0000,1.0000
3.5327,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
3.5779,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
3.6231,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
3.6683,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
3.7136,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
3.7588,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
3.8040,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
3.8492,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
3.8945,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
3.9397,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
3.9849,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
4.0302,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
4.0754,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
4.1206,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
4.1658,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
4.2111,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
4.2563,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
4.3015,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
4.3467,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
4.3920,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
4.4372,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
4.4824,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
4.5276,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
4.5729,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
4.6181,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
4.6633,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
4.7085,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
4.7538,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
4.7990,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
4.8442,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
4.8894,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
4.9347,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
4.9799,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
5.0251,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
5.0704,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
5.1156,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
5.1608,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
5.2060,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
5.2513,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.6667,1.0000,1.0000
5.2965,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.6667,1.0000,1.0000
5.3417,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.6667,1.0000,1.0000
5.3869,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.6667,1.0000,1.0000
5.4322,1.0000,1.0000,0.3333,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.6667,1.0000,1.0000
